n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.1,0.8,8,-1,0,HEFT,33507.459719194,3216740.9010554375,3.2000016555280632e-06,0.9999994239998675,0.058194568432885285
10,0.1,0.8,8,-1,0,GA,33508.393033743,3216829.216281266,3.03424314447006e-06,0.9999994538363831,0.05451872754029413
10,0.1,0.8,8,-1,1,HEFT,33508.636148841,3216852.1730718105,2.9848556944165873e-06,0.9999994627261194,0.04964611715346723
10,0.1,0.8,8,-1,1,GA,33509.57862101,3216943.3445159253,3.074534750056854e-06,0.999999446583898,0.048723083158859426
10,0.1,0.8,8,-1,2,HEFT,33509.87580229,3216977.6723858584,3.823690700058554e-06,0.9999993117359107,0.08419346419424198
10,0.1,0.8,8,-1,2,GA,33510.747405278,3217061.9162011994,3.89732487229695e-06,0.999999298481769,0.08113786149403414
10,0.1,1,8,-1,0,HEFT,33511.059113896,3217084.9012649055,3.0008179444040356e-06,0.9999994598529154,0.07814987961442593
10,0.1,1,8,-1,0,GA,33511.957093572,3217170.8431528048,2.966688616692813e-06,0.9999994659961914,0.06967184262190364
10,0.1,1,8,-1,1,HEFT,33512.252142048,3217204.3304107096,3.6336917444310125e-06,0.9999993459356998,0.07790319614661602
10,0.1,1,8,-1,1,GA,33513.12836726,3217286.0639212593,3.3256672221695126e-06,0.9999994013800791,0.0436005222429333
10,0.1,1,8,-1,2,HEFT,33513.411769543,3217313.308895569,3.3306226667466237e-06,0.9999994004880994,0.07883232725800873
10,0.1,1,8,-1,2,GA,33514.320337736,3217400.407120968,3.3145605054920048e-06,0.9999994033792869,0.06705363311801485
10,0.1,2,8,-1,0,HEFT,33514.560333082,3217445.878194967,6.2126898055187975e-06,0.9999988817164601,0.045710623470186396
10,0.1,2,8,-1,0,GA,33515.360593598,3217514.3548994996,5.134097427799134e-06,0.9999990758628898,0.08419296277947093
10,0.1,2,8,-1,1,HEFT,33515.530021045,3217518.8241490414,3.6100941500383974e-06,0.999999350183264,0.03783989351478649
10,0.1,2,8,-1,1,GA,33516.350271147,3217615.3948402735,5.913282966624441e-06,0.9999989356096325,0.08302488423502219
10,0.1,2,8,-1,2,HEFT,33516.571081642,3217623.437027973,4.213590483333165e-06,0.9999992415540003,0.05848814744471023
10,0.1,2,8,-1,2,GA,33517.343418703,3217693.992660052,3.7499308222726943e-06,0.9999993250126796,0.04937487656740564
10,0.1,4,8,-1,0,HEFT,33517.574464605,3217725.982813164,5.0173399333693345e-06,0.9999990968792195,0.10501610916445113
10,0.1,4,8,-1,0,GA,33518.359093822,3217792.76330582,3.913475311128423e-06,0.9999992955746918,0.06713593526386698
10,0.1,4,8,-1,1,HEFT,33518.592089919,3217820.285091776,4.5793875389386405e-06,0.9999991757105828,0.05615212084873853
10,0.1,4,8,-1,1,GA,33519.366143405,3217890.7106721858,4.077636344421383e-06,0.9999992660257272,0.06056171428663936
10,0.1,4,8,-1,2,HEFT,33519.605193408,3217912.4215429374,3.917697127811456e-06,0.9999992948147657,0.03585914085016552
10,0.1,4,8,-1,2,GA,33520.394498485,3217994.977721107,4.794039605581525e-06,0.9999991370732431,0.06833830724280823
10,0.5,0.5,8,-1,2,HEFT,33520.753794813,3218010.692764291,2.3680183776984148e-06,0.999999573756783,0.06998978338982662
10,0.5,0.5,8,-1,2,GA,33521.740748012,3218104.3261570055,2.224075950087152e-06,0.9999995996664091,0.05157308745033727
10,0.5,0.8,8,-1,0,HEFT,33522.036161139,3218140.379975027,3.2181531889364123e-06,0.9999994207325935,0.07903582390207958
10,0.5,0.8,8,-1,0,GA,33522.936148776,3218227.4567404985,3.305743927881445e-06,0.9999994049662697,0.06284910651176924
10,0.5,0.8,8,-1,1,HEFT,33523.187842141,3218250.135296911,3.1140118055191127e-06,0.9999994394780319,0.06296175385789173
10,0.5,0.8,8,-1,1,GA,33524.084042597,3218337.4338289574,3.2772273443697488e-06,0.999999410099252,0.08584316442101457
